datetime,o,h,l,c,v,oi
2024-07-19 09:15:00,52535.0,52640.0,52501.9,52526.25,47580,2068905
2024-07-19 09:16:00,52527.65,52530.35,52470.0,52490.4,25890,2068905
2024-07-19 09:17:00,52488.55,52500.0,52472.4,52482.85,16110,2068905
2024-07-19 09:18:00,52475.0,52505.2,52469.3,52494.8,31470,2064150
2024-07-19 09:19:00,52492.35,52498.95,52471.0,52471.0,18195,2064150
2024-07-19 09:20:00,52471.0,52471.0,52416.7,52458.45,48870,2064150
2024-07-19 09:21:00,52454.45,52490.0,52446.0,52486.7,15225,2055075
2024-07-19 09:22:00,52476.2,52489.5,52464.8,52487.2,11565,2055075
2024-07-19 09:23:00,52489.95,52519.8,52476.35,52518.05,11760,2055075
2024-07-19 09:24:00,52519.8,52589.9,52515.5,52580.0,17640,2054895
2024-07-19 09:25:00,52590.0,52600.0,52564.55,52588.1,12675,2054895
2024-07-19 09:26:00,52584.35,52613.35,52583.0,52588.85,13785,2054895
2024-07-19 09:27:00,52579.8,52600.0,52565.1,52595.0,5445,2058540
2024-07-19 09:28:00,52590.05,52603.5,52567.25,52586.3,5490,2058540
2024-07-19 09:29:00,52580.65,52590.0,52567.55,52578.15,7440,2058540
2024-07-19 09:30:00,52593.15,52595.0,52534.9,52550.15,13440,2060145
2024-07-19 09:31:00,52554.5,52566.1,52525.0,52566.1,6990,2060145
2024-07-19 09:32:00,52568.7,52574.0,52540.0,52541.6,2745,2060145
2024-07-19 09:33:00,52549.95,52594.55,52538.75,52594.55,6885,2059935
2024-07-19 09:34:00,52582.95,52599.95,52562.5,52565.0,4440,2059935
2024-07-19 09:35:00,52565.0,52570.55,52547.75,52554.9,3450,2059935
2024-07-19 09:36:00,52554.9,52575.0,52539.1,52568.3,3165,2060430
2024-07-19 09:37:00,52570.0,52585.65,52562.45,52568.2,1680,2060430
2024-07-19 09:38:00,52570.1,52589.6,52562.85,52571.3,2160,2060430
2024-07-19 09:39:00,52570.05,52589.0,52566.0,52573.25,3345,2060790
2024-07-19 09:40:00,52573.65,52590.55,52568.0,52574.8,3990,2060790
2024-07-19 09:41:00,52572.3,52585.55,52561.9,52576.95,1515,2060790
2024-07-19 09:42:00,52579.85,52597.55,52570.0,52578.05,1905,2061360
2024-07-19 09:43:00,52566.85,52570.15,52550.0,52559.5,2640,2061360
2024-07-19 09:44:00,52555.0,52572.3,52525.0,52565.6,4500,2061360
2024-07-19 09:45:00,52555.9,52565.55,52510.1,52541.1,5745,2062440
2024-07-19 09:46:00,52539.75,52551.05,52510.65,52510.7,4005,2062440
2024-07-19 09:47:00,52512.95,52523.85,52490.45,52492.65,15405,2062440
2024-07-19 09:48:00,52479.45,52500.0,52470.0,52500.0,8565,2061450
2024-07-19 09:49:00,52505.0,52523.6,52488.0,52512.0,7935,2061450
2024-07-19 09:50:00,52514.25,52519.5,52470.05,52470.35,6795,2061450
2024-07-19 09:51:00,52471.7,52506.25,52471.7,52485.35,4185,2061480
2024-07-19 09:52:00,52485.35,52499.8,52471.4,52471.4,4080,2061480
2024-07-19 09:53:00,52470.0,52479.8,52459.9,52469.7,5145,2061480
2024-07-19 09:54:00,52469.8,52492.95,52460.15,52480.35,5670,2062755
2024-07-19 09:55:00,52489.0,52507.1,52487.0,52489.7,4425,2062755
2024-07-19 09:56:00,52487.0,52518.85,52487.0,52514.75,2730,2062755
2024-07-19 09:57:00,52508.6,52511.15,52461.05,52465.0,5340,2056905
2024-07-19 09:58:00,52461.75,52464.75,52432.0,52436.0,14910,2056905
2024-07-19 09:59:00,52432.0,52456.4,52405.55,52421.45,24780,2056905
2024-07-19 10:00:00,52420.65,52436.9,52387.05,52414.85,53085,2054055
2024-07-19 10:01:00,52402.45,52412.95,52390.45,52404.9,18345,2054055
2024-07-19 10:02:00,52410.0,52453.4,52401.2,52445.55,6510,2054055
2024-07-19 10:03:00,52444.45,52457.6,52434.85,52439.95,5055,2071320
2024-07-19 10:04:00,52434.85,52439.15,52415.0,52424.9,5985,2071320
2024-07-19 10:05:00,52427.85,52434.0,52412.1,52425.05,3885,2071320
2024-07-19 10:06:00,52425.05,52435.25,52416.0,52424.9,1740,2075115
2024-07-19 10:07:00,52421.2,52424.55,52400.0,52424.55,4110,2075115
2024-07-19 10:08:00,52420.0,52458.9,52420.0,52444.7,6990,2075115
2024-07-19 10:09:00,52440.0,52447.75,52413.45,52420.75,3360,2072475
2024-07-19 10:10:00,52415.3,52428.3,52401.0,52419.0,2955,2072475
2024-07-19 10:11:00,52416.2,52416.2,52342.15,52362.5,30570,2072475
2024-07-19 10:12:00,52367.15,52411.45,52361.05,52393.45,8520,2067375
2024-07-19 10:13:00,52391.3,52416.0,52383.55,52416.0,6120,2067375
2024-07-19 10:14:00,52415.95,52420.0,52387.85,52387.85,6930,2067375
2024-07-19 10:15:00,52388.85,52402.45,52371.4,52374.35,14895,2068605
2024-07-19 10:16:00,52381.15,52395.35,52371.0,52395.35,9960,2068605
2024-07-19 10:17:00,52392.95,52420.0,52392.15,52419.75,12465,2068605
2024-07-19 10:18:00,52420.0,52438.0,52412.1,52434.8,3975,2075100
2024-07-19 10:19:00,52434.8,52434.8,52412.05,52417.0,2310,2075100
2024-07-19 10:20:00,52425.5,52444.0,52422.25,52437.7,1905,2075100
2024-07-19 10:21:00,52445.05,52469.0,52439.0,52468.45,5370,2074005
2024-07-19 10:22:00,52468.45,52468.45,52436.65,52440.35,3105,2074005
2024-07-19 10:23:00,52436.65,52437.15,52412.5,52412.5,2325,2074005
2024-07-19 10:24:00,52413.9,52448.25,52412.0,52439.0,2400,2073135
2024-07-19 10:25:00,52443.65,52460.0,52441.1,52445.0,1665,2073135
2024-07-19 10:26:00,52439.0,52441.45,52425.65,52434.85,7200,2073135
2024-07-19 10:27:00,52434.85,52470.05,52431.5,52470.05,7680,2066805
2024-07-19 10:28:00,52475.0,52490.5,52460.4,52476.0,8340,2066805
2024-07-19 10:29:00,52477.0,52477.0,52460.0,52460.0,2775,2066805
2024-07-19 10:30:00,52460.0,52466.95,52440.0,52449.3,3450,2065245
2024-07-19 10:31:00,52444.95,52454.5,52421.0,52423.0,2595,2065245
2024-07-19 10:32:00,52424.8,52450.0,52423.05,52445.1,2115,2065245
2024-07-19 10:33:00,52434.7,52460.55,52434.7,52437.4,765,2065605
2024-07-19 10:34:00,52436.2,52459.0,52432.9,52455.0,2205,2065605
2024-07-19 10:35:00,52457.55,52460.8,52445.25,52447.95,2130,2065605
2024-07-19 10:36:00,52447.95,52459.8,52444.15,52447.5,1410,2068455
2024-07-19 10:37:00,52447.5,52447.5,52420.05,52420.1,1050,2068455
