t,o,h,l,c,v,oi,series,data_source
2024-05-27 09:15:00,49124.0,49174.95,49073.05,49149.95,61305.0,2131950.0,I,
2024-05-27 09:20:00,49147.65,49205.55,49102.0,49199.95,45660.0,2127930.0,I,
2024-05-27 09:25:00,49196.4,49213.85,49158.1,49168.9,35835.0,2131350.0,I,
2024-05-27 09:30:00,49174.2,49192.75,49144.4,49144.4,34755.0,2140740.0,I,
2024-05-27 09:35:00,49144.4,49293.0,49144.4,49270.75,55995.0,2134740.0,I,
2024-05-27 09:40:00,49281.7,49329.45,49260.95,49310.0,36945.0,2131395.0,I,
2024-05-27 09:45:00,49300.95,49323.9,49275.0,49295.05,39495.0,2133435.0,I,
2024-05-27 09:50:00,49300.2,49314.0,49279.2,49282.75,20340.0,2132925.0,I,
2024-05-27 09:55:00,49285.0,49287.1,49217.95,49255.2,35130.0,2125110.0,I,
2024-05-27 10:00:00,49255.2,49260.0,49227.0,49260.0,19875.0,2120325.0,I,
2024-05-27 10:05:00,49260.0,49338.25,49246.85,49320.7,31125.0,2116725.0,I,
2024-05-27 10:10:00,49318.6,49324.1,49265.0,49265.0,11940.0,2113665.0,I,
2024-05-27 10:15:00,49272.0,49291.95,49252.9,49274.5,9240.0,2110635.0,I,
2024-05-27 10:20:00,49268.0,49333.0,49268.0,49329.8,15420.0,2107185.0,I,
2024-05-27 10:25:00,49329.8,49369.8,49315.0,49350.0,24720.0,2105805.0,I,
2024-05-27 10:30:00,49353.95,49387.5,49330.15,49377.85,29775.0,2102130.0,I,
2024-05-27 10:35:00,49370.15,49382.0,49336.7,49373.7,16620.0,2099805.0,I,
2024-05-27 10:40:00,49373.7,49400.0,49364.2,49400.0,22320.0,2100045.0,I,
2024-05-27 10:45:00,49400.0,49429.0,49384.8,49415.4,31860.0,2098650.0,I,
2024-05-27 10:50:00,49426.75,49429.95,49392.7,49417.75,16905.0,2102205.0,I,
2024-05-27 10:55:00,49417.75,49431.5,49392.05,49420.1,12825.0,2100840.0,I,
2024-05-27 11:00:00,49428.3,49448.4,49400.05,49403.65,14565.0,2102625.0,I,
2024-05-27 11:05:00,49409.7,49418.7,49369.9,49413.95,16875.0,2102955.0,I,
2024-05-27 11:10:00,49407.15,49420.35,49390.0,49407.8,7215.0,2102610.0,I,
2024-05-27 11:15:00,49407.55,49438.95,49407.55,49425.0,20820.0,2099070.0,I,
