t,o,h,l,c,v,oi,series,data_source
2024-05-27 12:12:00,49650.15,49688.5,49650.15,49688.5,20850.0,2005920.0,I,
2024-05-27 12:15:00,49688.5,49716.6,49669.0,49703.1,23910.0,2003820.0,I,
2024-05-27 12:18:00,49705.0,49715.0,49686.8,49700.7,11550.0,1998870.0,I,
2024-05-27 12:21:00,49700.7,49744.0,49700.7,49736.95,17430.0,1997655.0,I,
2024-05-27 12:24:00,49743.1,49840.0,49741.0,49795.25,48255.0,1992855.0,I,
2024-05-27 12:27:00,49793.95,49799.95,49765.0,49786.15,19590.0,1986675.0,I,
2024-05-27 12:30:00,49792.6,49827.9,49785.25,49815.0,21180.0,1989015.0,I,
2024-05-27 12:33:00,49814.6,49827.9,49793.1,49806.55,18555.0,1988115.0,I,
2024-05-27 12:36:00,49805.05,49815.0,49782.95,49790.0,12075.0,1989945.0,I,
2024-05-27 12:39:00,49789.85,49815.0,49789.85,49800.0,16425.0,1992555.0,I,
2024-05-27 12:42:00,49800.0,49806.55,49760.05,49767.3,15495.0,1994415.0,I,
2024-05-27 12:45:00,49770.05,49788.0,49725.0,49788.0,17340.0,1993890.0,I,
2024-05-27 12:48:00,49785.0,49796.75,49763.35,49770.0,6510.0,1993725.0,I,
2024-05-27 12:51:00,49770.0,49770.0,49735.0,49756.0,11535.0,1994925.0,I,
2024-05-27 12:54:00,49753.6,49753.6,49654.15,49707.15,22410.0,1998720.0,I,
2024-05-27 12:57:00,49688.0,49715.25,49666.85,49683.15,9345.0,1997655.0,I,
2024-05-27 13:00:00,49680.9,49724.45,49668.15,49709.95,12105.0,1994145.0,I,
2024-05-27 13:03:00,49713.8,49721.1,49684.25,49707.25,11280.0,1993605.0,I,
2024-05-27 13:06:00,49700.95,49746.85,49700.95,49735.55,7815.0,1990560.0,I,
2024-05-27 13:09:00,49744.95,49744.95,49711.8,49719.55,4110.0,1992540.0,I,
2024-05-27 13:12:00,49712.0,49719.95,49687.5,49700.05,7830.0,1992240.0,I,
2024-05-27 13:15:00,49700.05,49735.65,49700.0,49735.65,4905.0,1976325.0,I,
2024-05-27 13:18:00,49737.7,49761.0,49725.05,49757.35,5790.0,1975170.0,I,
2024-05-27 13:21:00,49748.7,49770.1,49742.85,49770.1,7320.0,1977300.0,I,
2024-05-27 13:24:00,49772.95,49775.0,49747.6,49756.4,8070.0,1979325.0,I,
