t,o,h,l,c,v,oi,series,data_source
2024-05-27 12:12:00,23143.9,23149.9,23142.5,23149.9,24850.0,11003025.0,I,
2024-05-27 12:15:00,23150.0,23161.0,23146.1,23160.6,34200.0,11003625.0,I,
2024-05-27 12:18:00,23160.0,23165.0,23155.0,23162.5,49925.0,11001975.0,I,
2024-05-27 12:21:00,23160.8,23169.9,23158.05,23165.0,47200.0,11000200.0,I,
2024-05-27 12:24:00,23163.95,23174.0,23158.0,23160.0,40250.0,11004675.0,I,
2024-05-27 12:27:00,23158.65,23169.8,23154.3,23166.35,43925.0,11003075.0,I,
2024-05-27 12:30:00,23167.3,23175.0,23163.05,23171.3,35550.0,11001525.0,I,
2024-05-27 12:33:00,23171.5,23177.0,23166.25,23167.3,47400.0,11002175.0,I,
2024-05-27 12:36:00,23167.1,23171.85,23161.25,23168.5,38325.0,11006675.0,I,
2024-05-27 12:39:00,23168.5,23170.0,23165.15,23166.15,31725.0,11004775.0,I,
2024-05-27 12:42:00,23166.15,23167.0,23159.1,23164.45,49675.0,10996850.0,I,
2024-05-27 12:45:00,23164.45,23170.5,23153.05,23170.0,29475.0,10995500.0,I,
2024-05-27 12:48:00,23170.0,23174.0,23166.3,23167.45,44725.0,11000150.0,I,
2024-05-27 12:51:00,23166.85,23167.9,23157.75,23158.55,30500.0,11001300.0,I,
2024-05-27 12:54:00,23158.25,23160.0,23134.55,23146.0,47275.0,11002325.0,I,
2024-05-27 12:57:00,23145.0,23150.0,23133.0,23134.3,23475.0,10990575.0,I,
2024-05-27 13:00:00,23134.0,23148.0,23133.0,23143.35,23300.0,10831050.0,I,
2024-05-27 13:03:00,23144.5,23151.45,23135.65,23138.1,22675.0,10824750.0,I,
2024-05-27 13:06:00,23139.0,23149.95,23139.0,23148.75,20575.0,10821025.0,I,
2024-05-27 13:09:00,23148.85,23149.75,23142.55,23142.55,9775.0,10825850.0,I,
2024-05-27 13:12:00,23142.0,23147.05,23140.25,23142.85,12050.0,10831925.0,I,
2024-05-27 13:15:00,23144.05,23149.9,23140.0,23147.7,10125.0,10799325.0,I,
2024-05-27 13:18:00,23149.9,23158.0,23147.65,23157.55,17275.0,10800200.0,I,
2024-05-27 13:21:00,23157.45,23158.2,23148.05,23155.05,8875.0,10803975.0,I,
2024-05-27 13:24:00,23155.55,23158.85,23151.95,23155.5,11300.0,10804775.0,I,
2024-05-27 13:27:00,23155.9,23161.0,23151.2,23159.05,20225.0,10798675.0,I,
2024-05-27 13:30:00,23160.15,23174.85,23160.15,23166.75,32875.0,10790725.0,I,
2024-05-27 13:33:00,23166.65,23167.0,23153.2,23153.2,14525.0,10795100.0,I,
2024-05-27 13:36:00,23155.5,23161.45,23149.45,23159.0,22100.0,10792525.0,I,
2024-05-27 13:39:00,23159.0,23161.8,23150.0,23154.0,15875.0,10785875.0,I,
2024-05-27 13:42:00,23151.9,23153.95,23144.0,23151.2,23225.0,10785075.0,I,
2024-05-27 13:45:00,23151.2,23155.0,23137.0,23141.25,20575.0,10785750.0,I,
2024-05-27 13:48:00,23141.25,23147.95,23136.0,23142.45,17925.0,10780575.0,I,
2024-05-27 13:51:00,23142.45,23142.45,23127.0,23127.35,27875.0,10772650.0,I,
2024-05-27 13:54:00,23127.35,23143.7,23119.75,23143.0,29750.0,10761325.0,I,
2024-05-27 13:57:00,23143.7,23144.1,23135.0,23142.0,18775.0,10762075.0,I,
2024-05-27 14:00:00,23141.25,23156.0,23141.25,23155.25,15625.0,10762000.0,I,
2024-05-27 14:03:00,23156.0,23158.6,23148.0,23158.6,16850.0,10762250.0,I,
2024-05-27 14:06:00,23159.0,23159.0,23147.05,23148.05,8325.0,10764725.0,I,
2024-05-27 14:09:00,23148.05,23153.05,23145.0,23148.8,12550.0,10766150.0,I,
2024-05-27 14:12:00,23146.85,23150.0,23138.0,23147.15,16575.0,10772050.0,I,
2024-05-27 14:15:00,23147.15,23152.0,23139.3,23140.9,19475.0,10708175.0,I,
2024-05-27 14:18:00,23141.0,23147.6,23139.5,23144.35,16525.0,10713200.0,I,
2024-05-27 14:21:00,23146.1,23150.0,23142.5,23146.25,15375.0,10717275.0,I,
2024-05-27 14:24:00,23145.65,23146.0,23135.0,23140.0,25875.0,10722200.0,I,
2024-05-27 14:27:00,23140.0,23147.45,23140.0,23140.65,16225.0,10723650.0,I,
2024-05-27 14:30:00,23140.65,23142.0,23131.0,23135.0,32725.0,10720675.0,I,
2024-05-27 14:33:00,23135.0,23138.4,23124.05,23128.8,26025.0,10715300.0,I,
2024-05-27 14:36:00,23128.8,23128.8,23114.25,23121.15,47175.0,10712750.0,I,
2024-05-27 14:39:00,23123.7,23128.45,23112.6,23121.55,29775.0,10699375.0,I,
2024-05-27 14:42:00,23121.55,23121.55,23095.0,23095.0,63225.0,10694425.0,I,
2024-05-27 14:45:00,23092.0,23105.5,23075.25,23079.7,88400.0,10661100.0,I,
2024-05-27 14:48:00,23083.0,23084.0,23043.0,23053.65,145475.0,10645300.0,I,
2024-05-27 14:51:00,23052.95,23054.85,23018.0,23018.0,177775.0,10648600.0,I,
2024-05-27 14:54:00,23014.0,23028.5,22994.0,23013.15,172150.0,10615075.0,I,
2024-05-27 14:57:00,23012.8,23013.4,22961.0,22975.4,206000.0,10633125.0,I,
2024-05-27 15:00:00,22973.95,23011.35,22921.0,23004.65,367100.0,10650000.0,I,
2024-05-27 15:03:00,23014.0,23031.5,22983.1,22993.5,133325.0,10653125.0,I,
2024-05-27 15:06:00,22993.05,22997.1,22971.45,22978.1,64225.0,10685875.0,I,
2024-05-27 15:09:00,22977.8,22993.0,22975.65,22988.7,83100.0,10703175.0,I,
