datetime,o,h,l,c,v,oi
2024-11-21 09:15:00,50798.2,50872.6,50498.2,50651.4,4935,409755
2024-11-21 09:16:00,50643.3,50644.55,50585.85,50624.35,5850,409755
2024-11-21 09:17:00,50604.8,50610.4,50545.0,50545.0,6120,409755
2024-11-21 09:18:00,50540.0,50589.0,50511.0,50589.0,3180,411240
2024-11-21 09:19:00,50599.0,50631.55,50536.7,50565.0,6870,411240
2024-11-21 09:20:00,50564.8,50623.15,50550.0,50609.65,2370,411240
2024-11-21 09:21:00,50601.9,50646.5,50591.9,50645.9,2805,414255
2024-11-21 09:22:00,50633.4,50651.15,50600.0,50610.75,4200,414255
2024-11-21 09:23:00,50607.9,50607.9,50555.5,50568.05,2310,414255
2024-11-21 09:24:00,50568.05,50583.95,50537.8,50554.05,1635,416370
2024-11-21 09:25:00,50545.1,50569.1,50512.0,50528.7,3285,416370
2024-11-21 09:26:00,50528.65,50592.5,50522.8,50574.05,1485,416370
2024-11-21 09:27:00,50575.15,50579.1,50546.35,50564.95,1410,418050
2024-11-21 09:28:00,50564.95,50599.0,50561.4,50585.05,1005,418050
2024-11-21 09:29:00,50580.0,50580.0,50539.65,50556.05,2145,418050
2024-11-21 09:30:00,50564.4,50569.25,50530.1,50562.8,3105,419805
2024-11-21 09:31:00,50562.8,50562.8,50440.0,50440.0,4950,419805
2024-11-21 09:32:00,50457.4,50457.4,50388.05,50400.0,6165,419805
2024-11-21 09:33:00,50403.15,50403.15,50316.6,50316.6,39075,441150
2024-11-21 09:34:00,50318.65,50349.0,50271.8,50284.95,4785,441150
2024-11-21 09:35:00,50282.15,50314.2,50236.35,50282.9,3705,441150
2024-11-21 09:36:00,50282.9,50298.7,50250.0,50285.25,2460,438945
2024-11-21 09:37:00,50296.5,50296.5,50228.0,50228.0,4020,438945
2024-11-21 09:38:00,50228.0,50258.85,50201.1,50220.2,6180,438945
2024-11-21 09:39:00,50225.8,50225.8,50156.8,50159.45,5730,441900
2024-11-21 09:40:00,50165.0,50216.9,50151.0,50160.0,28035,441900
2024-11-21 09:41:00,50151.05,50240.9,50151.05,50230.95,10125,441900
2024-11-21 09:42:00,50220.05,50241.8,50200.0,50223.7,5805,465000
2024-11-21 09:43:00,50214.4,50292.0,50214.4,50292.0,5250,465000
2024-11-21 09:44:00,50279.1,50288.85,50230.05,50243.05,2595,465000
2024-11-21 09:45:00,50243.05,50310.0,50230.05,50304.75,1875,467130
2024-11-21 09:46:00,50306.6,50310.25,50258.1,50295.0,2520,467130
2024-11-21 09:47:00,50300.0,50334.0,50294.6,50309.25,2745,467130
2024-11-21 09:48:00,50307.85,50308.7,50245.05,50274.3,1515,468450
2024-11-21 09:49:00,50274.0,50289.0,50248.05,50278.1,4905,468450
2024-11-21 09:50:00,50280.0,50314.95,50265.15,50293.05,1050,468450
2024-11-21 09:51:00,50291.8,50334.0,50289.75,50322.75,1455,473055
2024-11-21 09:52:00,50322.75,50333.5,50300.65,50324.95,2025,473055
2024-11-21 09:53:00,50324.95,50324.95,50275.0,50293.8,1065,473055
2024-11-21 09:54:00,50301.0,50325.0,50298.55,50322.85,735,474225
2024-11-21 09:55:00,50322.85,50334.0,50322.85,50334.0,3360,474225
2024-11-21 09:56:00,50334.0,50379.8,50334.0,50358.5,11370,474225
2024-11-21 09:57:00,50344.7,50357.9,50334.8,50349.15,435,481755
2024-11-21 09:58:00,50340.55,50360.0,50310.05,50360.0,870,481755
2024-11-21 09:59:00,50349.4,50355.45,50310.0,50310.0,1215,481755
2024-11-21 10:00:00,50305.2,50323.45,50270.05,50291.25,2025,483705
2024-11-21 10:01:00,50291.25,50299.4,50251.15,50298.65,1275,483705
2024-11-21 10:02:00,50298.65,50358.15,50289.2,50354.25,870,483705
2024-11-21 10:03:00,50358.15,50378.1,50347.1,50364.5,975,484680
2024-11-21 10:04:00,50367.4,50367.4,50346.05,50359.45,465,484680
2024-11-21 10:05:00,50359.45,50480.05,50359.45,50480.05,7020,484680
2024-11-21 10:06:00,50468.35,50498.75,50458.6,50497.65,1515,485730
2024-11-21 10:07:00,50497.65,50498.75,50451.0,50464.65,1440,485730
2024-11-21 10:08:00,50464.65,50472.5,50440.7,50469.95,1815,485730
2024-11-21 10:09:00,50469.95,50469.95,50440.0,50440.0,525,486405
2024-11-21 10:10:00,50440.0,50450.4,50415.25,50415.25,975,486405
2024-11-21 10:11:00,50415.25,50489.0,50415.25,50474.25,990,486405
2024-11-21 10:12:00,50497.9,50497.9,50454.05,50455.5,600,485955
2024-11-21 10:13:00,50455.5,50455.5,50425.0,50425.0,1965,485955
2024-11-21 10:14:00,50425.0,50435.0,50370.0,50370.0,1380,485955
2024-11-21 10:15:00,50370.0,50376.9,50350.0,50365.25,480,485955
2024-11-21 10:16:00,50365.25,50406.05,50365.25,50406.05,600,487335
2024-11-21 10:17:00,50400.0,50400.0,50366.1,50376.1,630,487335
2024-11-21 10:18:00,50384.3,50398.1,50368.8,50395.1,270,487335
2024-11-21 10:19:00,50395.1,50414.2,50394.35,50414.2,780,487830
2024-11-21 10:20:00,50414.2,50437.45,50396.05,50437.45,2265,487830
2024-11-21 10:21:00,50437.45,50442.5,50414.55,50442.5,2505,487830
2024-11-21 10:22:00,50435.15,50470.85,50430.0,50445.95,1095,492255
2024-11-21 10:23:00,50440.0,50465.8,50436.0,50456.45,855,492255
2024-11-21 10:24:00,50458.1,50500.0,50458.1,50492.35,2370,492255
2024-11-21 10:25:00,50480.7,50497.0,50474.1,50484.05,660,493875
2024-11-21 10:26:00,50496.5,50513.95,50496.5,50507.45,1065,493875
2024-11-21 10:27:00,50507.45,50507.45,50450.5,50460.0,1365,493875
2024-11-21 10:28:00,50460.0,50494.4,50452.05,50480.85,870,494835
2024-11-21 10:29:00,50479.6,50499.9,50450.0,50458.45,1560,494835
2024-11-21 10:30:00,50458.45,50458.45,50447.45,50455.8,1080,494835
2024-11-21 10:31:00,50453.75,50478.65,50430.9,50478.65,495,497310
2024-11-21 10:32:00,50478.65,50493.75,50478.65,50484.9,1560,497310
2024-11-21 10:33:00,50489.15,50491.0,50474.25,50486.0,795,497310
2024-11-21 10:34:00,50486.0,50500.0,50474.25,50474.55,1395,499305
2024-11-21 10:35:00,50474.15,50476.6,50458.8,50466.4,960,499305
2024-11-21 10:36:00,50466.4,50466.4,50418.45,50444.1,525,499305
2024-11-21 10:37:00,50444.1,50466.55,50418.45,50418.45,450,501015
2024-11-21 10:38:00,50418.45,50442.5,50418.0,50435.15,405,501015
2024-11-21 10:39:00,50435.15,50435.15,50361.35,50375.8,1050,501015
2024-11-21 10:40:00,50365.55,50388.0,50360.0,50388.0,1155,501780
2024-11-21 10:41:00,50391.15,50399.85,50375.0,50399.85,540,501780
2024-11-21 10:42:00,50399.85,50408.6,50381.15,50381.15,165,501780
2024-11-21 10:43:00,50381.15,50381.55,50364.3,50370.0,390,502575
2024-11-21 10:44:00,50368.55,50390.5,50366.45,50376.25,1125,502575
2024-11-21 10:45:00,50376.25,50406.0,50376.25,50385.25,450,502575
2024-11-21 10:46:00,50385.25,50385.25,50350.0,50362.5,1245,503775
2024-11-21 10:47:00,50378.15,50388.25,50333.0,50333.0,2100,503775
2024-11-21 10:48:00,50337.55,50359.2,50329.9,50358.5,2670,503775
2024-11-21 10:49:00,50358.5,50374.25,50355.5,50361.45,345,506910
2024-11-21 10:50:00,50361.45,50361.95,50350.05,50359.1,390,506910
2024-11-21 10:51:00,50359.1,50400.0,50359.1,50395.25,915,506910
2024-11-21 10:52:00,50395.25,50417.55,50395.25,50410.15,120,507975
2024-11-21 10:53:00,50410.15,50467.6,50410.1,50467.6,810,507975
2024-11-21 10:54:00,50467.6,50473.2,50450.0,50458.05,390,507975
2024-11-21 10:55:00,50462.0,50462.0,50433.15,50451.2,420,508200
2024-11-21 10:56:00,50451.2,50452.3,50425.05,50432.7,360,508200
2024-11-21 10:57:00,50434.2,50463.95,50429.5,50453.45,1890,508200
2024-11-21 10:58:00,50452.25,50472.1,50450.0,50450.0,1005,508470
2024-11-21 10:59:00,50445.75,50468.2,50445.75,50468.2,240,508470
2024-11-21 11:00:00,50468.2,50497.75,50468.2,50477.1,1485,508470
2024-11-21 11:01:00,50477.1,50545.5,50477.1,50521.65,3060,508395
2024-11-21 11:02:00,50521.2,50559.45,50514.15,50536.45,2625,508395
2024-11-21 11:03:00,50550.0,50561.8,50534.25,50548.35,930,508395
2024-11-21 11:04:00,50541.15,50550.55,50541.15,50550.55,1050,508965
2024-11-21 11:05:00,50550.55,50580.0,50549.95,50572.55,960,508965
2024-11-21 11:06:00,50572.55,50572.55,50523.1,50523.1,435,508965
2024-11-21 11:07:00,50523.1,50538.5,50515.1,50530.6,660,509385
2024-11-21 11:08:00,50530.6,50530.6,50521.25,50523.65,345,509385
2024-11-21 11:09:00,50515.0,50524.0,50515.0,50516.55,120,509385
2024-11-21 11:10:00,50516.55,50519.3,50508.1,50518.85,450,509925
2024-11-21 11:11:00,50518.85,50518.85,50505.0,50512.25,180,509925
2024-11-21 11:12:00,50512.25,50519.3,50500.0,50519.3,240,509925
2024-11-21 11:13:00,50519.3,50542.0,50519.3,50536.65,420,510180
2024-11-21 11:14:00,50536.65,50538.9,50518.9,50518.9,645,510180
2024-11-21 11:15:00,50516.95,50528.1,50510.3,50528.1,270,510180
2024-11-21 11:16:00,50528.1,50546.0,50528.1,50546.0,120,510270
2024-11-21 11:17:00,50536.15,50546.0,50532.9,50546.0,240,510270
2024-11-21 11:18:00,50549.0,50550.05,50545.0,50545.0,960,510270
2024-11-21 11:19:00,50545.0,50569.95,50545.0,50568.0,330,510330
2024-11-21 11:20:00,50568.0,50649.0,50568.0,50649.0,10320,510330
2024-11-21 11:21:00,50634.6,50660.0,50591.45,50593.4,2955,510330
2024-11-21 11:22:00,50593.4,50600.0,50581.95,50587.45,300,515070
2024-11-21 11:23:00,50587.45,50587.45,50556.25,50569.9,2280,515070
2024-11-21 11:24:00,50569.9,50580.0,50553.1,50553.1,345,515070
2024-11-21 11:25:00,50553.1,50563.4,50553.1,50558.7,1020,515625
2024-11-21 11:26:00,50558.4,50558.4,50526.4,50540.3,2430,515625
2024-11-21 11:27:00,50540.3,50572.35,50540.3,50572.35,135,515625
2024-11-21 11:28:00,50572.35,50584.95,50569.25,50584.95,1200,518130
2024-11-21 11:29:00,50584.95,50598.95,50584.95,50592.55,375,518130
2024-11-21 11:30:00,50592.55,50614.9,50592.55,50612.3,465,518130
2024-11-21 11:31:00,50612.3,50624.95,50608.25,50610.4,660,519105
2024-11-21 11:32:00,50610.4,50627.8,50608.25,50610.0,345,519105
2024-11-21 11:33:00,50607.85,50636.3,50607.85,50630.95,885,519105
2024-11-21 11:34:00,50631.8,50660.6,50630.85,50638.05,3600,517935
2024-11-21 11:35:00,50638.05,50641.35,50625.0,50641.35,510,517935
2024-11-21 11:36:00,50641.35,50665.95,50641.35,50657.3,885,517935
2024-11-21 11:37:00,50657.95,50657.95,50642.0,50642.0,300,517185
2024-11-21 11:38:00,50642.0,50655.0,50640.05,50642.4,1650,517185
2024-11-21 11:39:00,50642.4,50676.6,50642.4,50653.35,2415,517185
2024-11-21 11:40:00,50653.35,50694.55,50653.35,50683.35,2385,519225
2024-11-21 11:41:00,50699.95,50720.0,50691.05,50706.4,2040,519225
2024-11-21 11:42:00,50706.4,50719.75,50686.15,50686.15,1530,519225
2024-11-21 11:43:00,50685.0,50690.9,50672.4,50680.0,780,519450
2024-11-21 11:44:00,50680.0,50709.3,50680.0,50700.0,705,519450
2024-11-21 11:45:00,50719.25,50735.85,50707.1,50723.4,1410,519450
2024-11-21 11:46:00,50723.4,50723.4,50669.05,50671.25,465,519705
2024-11-21 11:47:00,50671.25,50687.6,50651.15,50651.15,450,519705
2024-11-21 11:48:00,50666.9,50685.0,50657.6,50685.0,240,519705
2024-11-21 11:49:00,50685.0,50692.15,50670.0,50670.0,645,519705
2024-11-21 11:50:00,50670.0,50672.7,50651.0,50671.45,405,519705
2024-11-21 11:51:00,50671.45,50676.75,50655.0,50661.6,225,519705
2024-11-21 11:52:00,50661.6,50690.85,50661.0,50690.15,120,519975
2024-11-21 11:53:00,50672.0,50690.85,50670.55,50680.0,510,519975
2024-11-21 11:54:00,50680.0,50740.0,50680.0,50740.0,1185,519975
2024-11-21 11:55:00,50740.0,50754.55,50725.85,50741.55,3765,521010
2024-11-21 11:56:00,50741.55,50786.0,50741.55,50786.0,1395,521010
2024-11-21 11:57:00,50785.0,50785.0,50746.3,50776.3,1185,521010
