date,symbol,series,total_v
2024-08-23,NIFTY,I,3560350.0
2024-08-26,BANKNIFTY,I,1777065.0
2024-08-26,NIFTY,I,5152300.0
2024-08-27,BANKNIFTY,I,2213745.0
2024-08-27,NIFTY,I,4216675.0
2024-08-28,BANKNIFTY,I,1936515.0
2024-08-28,NIFTY,I,5364675.0
2024-08-29,BANKNIFTY,I,1997340.0
2024-08-29,NIFTY,II,10783375.0
2024-08-30,BANKNIFTY,I,1469055.0
2024-08-30,NIFTY,I,5574725.0
2024-09-02,BANKNIFTY,I,1556340.0
2024-09-02,NIFTY,I,5102800.0
2024-09-03,BANKNIFTY,I,1664505.0
2024-09-03,NIFTY,I,3238900.0
2024-09-04,BANKNIFTY,I,1622760.0
2024-09-04,NIFTY,I,5544875.0
2024-09-05,BANKNIFTY,I,880530.0
2024-09-05,NIFTY,I,3922150.0
2024-09-06,BANKNIFTY,I,2835270.0
2024-09-06,NIFTY,I,10407125.0
2024-09-09,BANKNIFTY,I,2216955.0
2024-09-09,NIFTY,I,5348700.0
2024-09-10,BANKNIFTY,I,1690830.0
2024-09-10,NIFTY,I,6026375.0
2024-09-11,BANKNIFTY,I,1955865.0
2024-09-11,NIFTY,I,4900075.0
2024-09-12,BANKNIFTY,I,2474550.0
2024-09-12,NIFTY,I,10856600.0
2024-09-13,BANKNIFTY,I,1637790.0
2024-09-13,NIFTY,I,4353225.0
2024-09-16,BANKNIFTY,I,1307010.0
2024-09-16,NIFTY,I,3606150.0
2024-09-17,BANKNIFTY,I,1027620.0
2024-09-17,NIFTY,I,2730950.0
2024-09-18,BANKNIFTY,I,2732295.0
2024-09-18,NIFTY,I,4906800.0
2024-09-19,BANKNIFTY,I,2013060.0
2024-09-19,NIFTY,I,7590725.0
2024-09-20,BANKNIFTY,I,2414715.0
2024-09-20,NIFTY,I,12207300.0
2024-09-23,BANKNIFTY,I,1690500.0
2024-09-23,NIFTY,I,6254100.0
2024-09-24,BANKNIFTY,I,1371960.0
2024-09-24,NIFTY,I,5635225.0
2024-09-25,BANKNIFTY,I,1559025.0
2024-09-25,NIFTY,II,4968750.0
2024-09-26,BANKNIFTY,I,1322925.0
2024-09-26,NIFTY,II,9882100.0
2024-09-27,BANKNIFTY,I,1632855.0
2024-09-27,NIFTY,I,4795825.0
2024-09-30,BANKNIFTY,I,2220105.0
2024-09-30,NIFTY,I,8177625.0
2024-10-01,BANKNIFTY,I,1746780.0
2024-10-01,NIFTY,I,4490425.0
2024-10-03,BANKNIFTY,I,2549970.0
2024-10-03,NIFTY,I,11748150.0
2024-10-04,BANKNIFTY,I,2782215.0
2024-10-04,NIFTY,I,11686925.0
2024-10-07,BANKNIFTY,I,3874395.0
2024-10-07,NIFTY,I,9805925.0
2024-10-08,BANKNIFTY,I,1954860.0
2024-10-08,NIFTY,I,7438625.0
2024-10-09,BANKNIFTY,I,3145230.0
2024-10-09,NIFTY,I,7668650.0
2024-10-10,BANKNIFTY,I,1425855.0
2024-10-10,NIFTY,I,4628175.0
2024-10-11,BANKNIFTY,I,1622955.0
2024-10-11,NIFTY,I,3239925.0
2024-10-14,BANKNIFTY,I,1775535.0
2024-10-14,NIFTY,I,3761450.0
2024-10-15,BANKNIFTY,I,1303680.0
2024-10-15,NIFTY,I,3970025.0
2024-10-16,BANKNIFTY,I,1165650.0
2024-10-16,NIFTY,I,4618975.0
2024-10-17,BANKNIFTY,I,1816920.0
2024-10-17,NIFTY,I,4825125.0
2024-10-18,BANKNIFTY,I,2550975.0
2024-10-18,NIFTY,I,6133900.0
2024-10-21,BANKNIFTY,I,1958340.0
2024-10-21,NIFTY,I,4982150.0
2024-10-22,BANKNIFTY,I,2124585.0
2024-10-22,NIFTY,I,6254250.0
2024-10-23,BANKNIFTY,I,1574655.0
2024-10-23,NIFTY,I,5243150.0
2024-10-24,BANKNIFTY,I,1917780.0
2024-10-24,NIFTY,I,3845625.0
2024-10-25,BANKNIFTY,I,2765595.0
2024-10-25,NIFTY,I,7055475.0
2024-10-28,BANKNIFTY,I,2243295.0
2024-10-28,NIFTY,I,6528850.0
2024-10-29,BANKNIFTY,I,2425260.0
2024-10-29,NIFTY,I,6497500.0
2024-10-30,BANKNIFTY,II,2042790.0
2024-10-30,NIFTY,I,5150225.0
2024-10-31,BANKNIFTY,I,1895250.0
2024-10-31,NIFTY,II,6354050.0
2024-11-04,BANKNIFTY,I,1627710.0
2024-11-04,NIFTY,I,7947975.0
2024-11-05,BANKNIFTY,I,2770605.0
2024-11-05,NIFTY,I,6265150.0
2024-11-06,BANKNIFTY,I,1665015.0
2024-11-06,NIFTY,I,7669325.0
2024-11-07,BANKNIFTY,I,1594860.0
2024-11-07,NIFTY,I,6011300.0
2024-11-08,BANKNIFTY,I,1641375.0
2024-11-08,NIFTY,I,4930425.0
2024-11-11,BANKNIFTY,I,1730640.0
2024-11-11,NIFTY,I,5941225.0
2024-11-12,BANKNIFTY,I,2245785.0
2024-11-12,NIFTY,I,5250225.0
2024-11-13,BANKNIFTY,I,2841090.0
2024-11-13,NIFTY,I,6660875.0
2024-11-14,BANKNIFTY,I,1762575.0
2024-11-14,NIFTY,I,5672775.0
2024-11-18,BANKNIFTY,I,1203225.0
2024-11-18,NIFTY,I,5837225.0
2024-11-19,BANKNIFTY,I,2230935.0
2024-11-19,NIFTY,I,7311425.0
2024-11-21,BANKNIFTY,I,2288280.0
2024-11-21,NIFTY,I,5527525.0
2024-11-22,BANKNIFTY,I,2358990.0
2024-11-22,NIFTY,I,10552250.0
2024-11-25,BANKNIFTY,I,2176035.0
2024-11-25,NIFTY,I,7600000.0
2024-11-26,BANKNIFTY,I,1340730.0
2024-11-26,NIFTY,I,4662550.0
2024-11-27,BANKNIFTY,I,1706640.0
2024-11-27,NIFTY,I,5306125.0
2024-11-28,BANKNIFTY,I,2628330.0
2024-11-28,NIFTY,II,11996050.0
2024-11-29,BANKNIFTY,I,1520190.0
2024-11-29,NIFTY,I,6582400.0
2024-12-02,BANKNIFTY,I,1403490.0
2024-12-02,NIFTY,I,5743225.0
2024-12-03,BANKNIFTY,I,1822035.0
2024-12-03,NIFTY,I,5112075.0
