Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,23/10/2024,09:15:00,24650,24604.95,75,24643.7,100,425,1958800
NIFTY-II.NFO,23/10/2024,09:15:00,24650,24604.95,75,24643.7,100,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:00,24650.05,24604.95,75,24643.7,100,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:00,24601.25,24604.95,75,24643.7,100,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:01,24643.5,24621.65,100,24639.65,100,25,1958800
NIFTY-II.NFO,23/10/2024,09:15:01,24643.4,24622.65,100,24640.95,50,150,1958800
NIFTY-II.NFO,23/10/2024,09:15:02,24640.15,24625.25,100,24640.2,75,200,1958800
NIFTY-II.NFO,23/10/2024,09:15:03,24644,24631.2,100,24644,50,125,1958800
NIFTY-II.NFO,23/10/2024,09:15:04,24632.2,24632.2,25,24643.9,75,150,1958800
NIFTY-II.NFO,23/10/2024,09:15:05,24643.95,24635.05,100,24643.95,25,650,1958800
NIFTY-II.NFO,23/10/2024,09:15:06,24650,24644.05,50,24650,125,475,1958800
NIFTY-II.NFO,23/10/2024,09:15:07,24650,24648.55,50,24659,25,200,1958800
NIFTY-II.NFO,23/10/2024,09:15:09,24657.3,24649.55,50,24659,25,225,1958800
NIFTY-II.NFO,23/10/2024,09:15:09,24658.35,24649.55,50,24659,25,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:10,24664.05,24647.7,100,24662.5,25,600,1958800
NIFTY-II.NFO,23/10/2024,09:15:10,24665.3,24647.7,100,24662.5,25,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:12,24659.85,24659,25,24659.9,25,150,1958800
NIFTY-II.NFO,23/10/2024,09:15:13,24664.1,24664.1,25,24669.95,25,275,1958800
NIFTY-II.NFO,23/10/2024,09:15:13,24670,24664.1,25,24669.95,25,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:14,24664.1,24664.1,50,24669.95,25,225,1958800
NIFTY-II.NFO,23/10/2024,09:15:16,24668.25,24666.85,50,24674.95,50,500,1958800
NIFTY-II.NFO,23/10/2024,09:15:16,24673.15,24666.85,50,24674.95,50,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:18,24669.4,24668.7,50,24674.95,50,625,1958800
NIFTY-II.NFO,23/10/2024,09:15:18,24674.9,24668.7,50,24674.95,50,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:19,24668.3,24668,75,24674.9,25,225,1958800
NIFTY-II.NFO,23/10/2024,09:15:19,24674.95,24668,75,24674.9,25,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:21,24670,24664.95,50,24669.95,25,150,1958800
NIFTY-II.NFO,23/10/2024,09:15:21,24678.75,24664.95,50,24669.95,25,0,1958800
NIFTY-II.NFO,23/10/2024,09:15:22,24667.8,24661.55,50,24667.8,25,200,1958800
NIFTY-II.NFO,23/10/2024,09:15:24,24669,24660.35,100,24668.9,500,800,1958800
NIFTY-II.NFO,23/10/2024,09:15:25,24660.3,24659.85,75,24663.75,25,125,1958800
NIFTY-II.NFO,23/10/2024,09:15:27,24660.25,24659,25,24660.9,100,625,1958800
NIFTY-II.NFO,23/10/2024,09:15:28,24659.7,24652.2,100,24659.7,25,225,1958800
NIFTY-II.NFO,23/10/2024,09:15:30,24650,24650,50,24656.4,25,250,1958800
NIFTY-II.NFO,23/10/2024,09:15:31,24656.35,24650,25,24656.35,75,75,1958800
NIFTY-II.NFO,23/10/2024,09:15:33,24653.95,24650.05,100,24656.45,25,250,1958800
NIFTY-II.NFO,23/10/2024,09:15:34,24658.2,24651.15,100,24658.25,25,200,1958800
NIFTY-II.NFO,23/10/2024,09:15:36,24650,24650,50,24655.3,25,100,1958800
NIFTY-II.NFO,23/10/2024,09:15:37,24650,24650,50,24650.05,1050,75,1958800
NIFTY-II.NFO,23/10/2024,09:15:39,24644,24643.4,50,24650,75,250,1958800
NIFTY-II.NFO,23/10/2024,09:15:41,24644.35,24645.15,50,24650.05,850,125,1958800
NIFTY-II.NFO,23/10/2024,09:15:42,24650.05,24648.8,175,24650.05,175,725,1958800
NIFTY-II.NFO,23/10/2024,09:15:44,24652,24652,1900,24656.3,50,350,1958800
NIFTY-II.NFO,23/10/2024,09:15:45,24652,24652,1275,24656.3,75,625,1958800
NIFTY-II.NFO,23/10/2024,09:15:47,24652,24652,1075,24653.95,25,250,1958800
NIFTY-II.NFO,23/10/2024,09:15:48,24652,24652,1000,24652.35,50,100,1958800
NIFTY-II.NFO,23/10/2024,09:15:50,24644.55,24650,25,24651.95,25,1400,1958800
NIFTY-II.NFO,23/10/2024,09:15:51,24651.4,24645.85,50,24651.4,50,275,1958800
NIFTY-II.NFO,23/10/2024,09:15:53,24651.25,24648.45,225,24651.85,75,400,1959600
NIFTY-II.NFO,23/10/2024,09:15:55,24654.5,24655.85,150,24656.35,50,1150,1959600
NIFTY-II.NFO,23/10/2024,09:15:56,24660,24660.6,50,24663.4,25,150,1959600
NIFTY-II.NFO,23/10/2024,09:15:58,24669.25,24664.05,50,24668.9,125,575,1959600
NIFTY-II.NFO,23/10/2024,09:15:59,24660.3,24661,175,24662.7,25,175,1959600
NIFTY-II.NFO,23/10/2024,09:16:01,24662.65,24653.95,25,24660.55,125,25,1959600
NIFTY-II.NFO,23/10/2024,09:16:02,24658.65,24650.05,75,24656.8,100,475,1959600
NIFTY-II.NFO,23/10/2024,09:16:04,24656.3,24650,75,24656.3,425,100,1959600
NIFTY-II.NFO,23/10/2024,09:16:05,24656.25,24649.4,100,24656.25,75,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:07,24650,24648.05,150,24653.35,25,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:08,24653.25,24650,25,24653.3,25,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:10,24653.25,24650,150,24653.2,50,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:12,24653.15,24650.05,25,24653.25,50,100,1959600
NIFTY-II.NFO,23/10/2024,09:16:13,24650,24650,2150,24653.05,25,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:15,24664.05,24660.95,175,24664.05,25,1375,1959600
NIFTY-II.NFO,23/10/2024,09:16:16,24657.45,24656.7,50,24659.25,100,25,1959600
NIFTY-II.NFO,23/10/2024,09:16:18,24657.8,24650.1,300,24655.05,25,100,1959600
NIFTY-II.NFO,23/10/2024,09:16:19,24653.95,24650.4,125,24653.9,25,125,1959600
NIFTY-II.NFO,23/10/2024,09:16:21,24650.1,24650,2275,24654.3,100,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:22,24650,24650,2175,24653.55,25,175,1959600
NIFTY-II.NFO,23/10/2024,09:16:24,24652.8,24650,2175,24652.75,25,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:26,24653.05,24650,2100,24653.05,50,650,1959600
NIFTY-II.NFO,23/10/2024,09:16:27,24653,24650,1875,24650.4,25,350,1959600
NIFTY-II.NFO,23/10/2024,09:16:29,24653.1,24650,1775,24653.1,25,175,1959600
NIFTY-II.NFO,23/10/2024,09:16:30,24650,24650,1750,24652.95,350,25,1959600
NIFTY-II.NFO,23/10/2024,09:16:32,24652.95,24650,1875,24652.95,350,25,1959600
NIFTY-II.NFO,23/10/2024,09:16:33,24650,24650,1875,24652.85,375,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:35,24652.85,24650,1875,24652.7,350,25,1959600
NIFTY-II.NFO,23/10/2024,09:16:36,24653.05,24650,1650,24652.6,25,325,1959600
NIFTY-II.NFO,23/10/2024,09:16:38,24650,24650,1675,24652.6,25,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:39,24650,24650,1250,24652.65,50,450,1959600
NIFTY-II.NFO,23/10/2024,09:16:41,24650.05,24650.05,25,24652.85,25,200,1959600
NIFTY-II.NFO,23/10/2024,09:16:42,24650.05,24650,1250,24652.9,25,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:44,24650,24650,1100,24650.05,50,200,1959600
NIFTY-II.NFO,23/10/2024,09:16:45,24650,24650,1025,24652,25,250,1959600
NIFTY-II.NFO,23/10/2024,09:16:47,24650,24650,1125,24652,25,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:49,24657,24657.2,125,24659.95,350,875,1959600
NIFTY-II.NFO,23/10/2024,09:16:50,24659.9,24655.1,50,24659.95,350,75,1959600
NIFTY-II.NFO,23/10/2024,09:16:52,24659.95,24655.15,300,24659.75,25,575,1959600
NIFTY-II.NFO,23/10/2024,09:16:53,24659.95,24659.95,50,24660,200,150,1959600
NIFTY-II.NFO,23/10/2024,09:16:55,24660,24655.95,250,24659.95,350,175,1959600
NIFTY-II.NFO,23/10/2024,09:16:56,24656,24656.95,200,24660,25,850,1959600
NIFTY-II.NFO,23/10/2024,09:16:58,24659.9,24656.45,50,24659.95,25,50,1959600
NIFTY-II.NFO,23/10/2024,09:16:59,24654.4,24653.75,50,24660.4,100,500,1959600
NIFTY-II.NFO,23/10/2024,09:17:01,24654.4,24652.9,75,24658.95,175,0,1959600
NIFTY-II.NFO,23/10/2024,09:17:02,24655.4,24650,875,24654.75,50,1175,1959600
NIFTY-II.NFO,23/10/2024,09:17:04,24650,24650,750,24653.65,75,125,1959600
NIFTY-II.NFO,23/10/2024,09:17:05,24651.3,24650,525,24652.85,25,250,1959600
NIFTY-II.NFO,23/10/2024,09:17:07,24650.5,24650,525,24652.9,75,50,1959600
NIFTY-II.NFO,23/10/2024,09:17:09,24645.9,24645.65,250,24649.95,350,625,1959600
NIFTY-II.NFO,23/10/2024,09:17:10,24649.95,24647.25,100,24650,25,100,1959600
NIFTY-II.NFO,23/10/2024,09:17:12,24652.9,24646.1,250,24651.7,75,100,1959600
NIFTY-II.NFO,23/10/2024,09:17:13,24651.75,24645.05,150,24649.95,375,25,1959600
NIFTY-II.NFO,23/10/2024,09:17:15,24654.2,24654.2,100,24656,500,175,1959600
NIFTY-II.NFO,23/10/2024,09:17:16,24656,24652.6,100,24655.95,350,300,1959600
NIFTY-II.NFO,23/10/2024,09:17:18,24652.6,24652.25,100,24655.8,350,50,1959600
NIFTY-II.NFO,23/10/2024,09:17:20,24655.8,24652.7,100,24655.55,25,150,1959600
NIFTY-II.NFO,23/10/2024,09:17:21,24651.2,24651.1,200,24655.55,350,175,1959600
NIFTY-II.NFO,23/10/2024,09:17:23,24655,24655,575,24656,275,175,1959600
NIFTY-II.NFO,23/10/2024,09:17:24,24655,24655,500,24656,250,100,1959600
NIFTY-II.NFO,23/10/2024,09:17:26,24656,24655,500,24658.45,350,250,1959600
NIFTY-II.NFO,23/10/2024,09:17:27,24659,24657.35,100,24659.95,225,125,1959600
NIFTY-II.NFO,23/10/2024,09:17:29,24660,24659.8,125,24662,75,1025,1959600
NIFTY-II.NFO,23/10/2024,09:17:30,24660.7,24660.35,300,24664,25,250,1959600
NIFTY-II.NFO,23/10/2024,09:17:32,24664.05,24664.05,50,24665,175,300,1959600
NIFTY-II.NFO,23/10/2024,09:17:34,24665.2,24665.15,300,24670,125,375,1959600
