datetime,o,h,l,c,v,oi
2025-02-21 09:15:00,50247.25,50247.25,49910.15,49960.9,2640,75900
2025-02-21 09:16:00,49960.9,49981.0,49960.9,49981.0,90,75900
2025-02-21 09:17:00,49981.0,49981.85,49970.0,49981.85,1290,75900
2025-02-21 09:18:00,49981.85,50006.95,49981.85,49990.0,150,76680
2025-02-21 09:19:00,49990.0,50021.55,49990.0,50000.0,90,76680
2025-02-21 09:20:00,50000.0,50000.0,50000.0,50000.0,90,76680
2025-02-21 09:21:00,50000.0,50006.55,49997.05,49997.05,180,76770
2025-02-21 09:22:00,49997.05,49997.05,49990.0,49990.0,60,76770
2025-02-21 09:23:00,49990.0,50001.15,49988.7,49994.2,390,76770
2025-02-21 09:24:00,49994.2,49998.5,49992.3,49998.5,150,76680
2025-02-21 09:25:00,49998.5,49998.5,49960.0,49960.0,60,76680
2025-02-21 09:26:00,49960.0,49960.0,49950.0,49950.0,270,76680
2025-02-21 09:27:00,49950.0,49952.0,49942.35,49952.0,150,76530
2025-02-21 09:28:00,49952.0,49965.7,49950.0,49950.0,270,76530
2025-02-21 09:29:00,49950.0,49965.7,49950.0,49959.2,120,76530
2025-02-21 09:30:00,49959.2,49959.2,49927.3,49927.3,930,76020
2025-02-21 09:31:00,49920.0,49930.0,49915.45,49924.45,390,76020
2025-02-21 09:32:00,49924.45,49944.55,49924.45,49937.5,180,76020
2025-02-21 09:33:00,49937.5,49937.5,49924.45,49924.45,360,76020
2025-02-21 09:34:00,49911.0,49911.0,49910.0,49910.0,60,76020
2025-02-21 09:35:00,49910.0,49915.0,49900.15,49915.0,540,76020
2025-02-21 09:36:00,49915.0,49935.15,49915.0,49927.0,120,75300
2025-02-21 09:37:00,49927.0,49927.0,49915.0,49915.0,300,75300
2025-02-21 09:38:00,49915.0,49915.0,49905.15,49905.15,60,75300
2025-02-21 09:39:00,49905.15,49905.15,49890.05,49892.0,1410,74490
2025-02-21 09:40:00,49892.0,49892.0,49874.0,49874.0,90,74490
2025-02-21 09:41:00,49870.0,49877.8,49863.05,49877.8,270,74490
2025-02-21 09:42:00,49877.8,49889.9,49870.0,49870.0,150,74280
2025-02-21 09:43:00,49870.0,49870.0,49799.0,49800.0,1170,74280
2025-02-21 09:44:00,49798.0,49798.0,49770.0,49790.3,360,74280
2025-02-21 09:45:00,49790.3,49790.3,49750.9,49750.9,480,73650
2025-02-21 09:46:00,49750.9,49785.95,49750.0,49785.95,360,73650
2025-02-21 09:47:00,49785.95,49790.0,49784.0,49789.25,210,73650
2025-02-21 09:48:00,49789.25,49799.0,49784.9,49784.9,150,73230
2025-02-21 09:49:00,49784.9,49784.9,49753.35,49753.35,180,73230
2025-02-21 09:50:00,49753.35,49755.2,49743.65,49743.65,870,73230
2025-02-21 09:51:00,49743.65,49749.95,49730.0,49730.0,1080,71910
2025-02-21 09:52:00,49725.0,49727.95,49710.0,49710.0,330,71910
2025-02-21 09:53:00,49709.75,49714.55,49700.0,49714.55,1950,71910
2025-02-21 09:54:00,49714.55,49714.55,49703.0,49705.65,600,69570
2025-02-21 09:55:00,49705.65,49719.95,49700.0,49719.95,330,69570
2025-02-21 09:56:00,49719.95,49732.5,49719.95,49725.0,210,69570
2025-02-21 09:57:00,49725.0,49725.0,49720.8,49720.8,30,69360
2025-02-21 09:58:00,49720.8,49743.1,49720.8,49743.1,30,69360
2025-02-21 09:59:00,49731.0,49731.0,49696.3,49696.3,690,69360
2025-02-21 10:00:00,49696.3,49696.3,49640.25,49650.0,720,69690
2025-02-21 10:01:00,49650.0,49695.75,49650.0,49694.1,240,69690
2025-02-21 10:02:00,49694.1,49710.0,49694.1,49707.65,120,69690
2025-02-21 10:03:00,49707.65,49707.65,49690.0,49701.7,210,69570
2025-02-21 10:04:00,49701.7,49701.7,49686.0,49686.0,120,69570
2025-02-21 10:05:00,49686.0,49686.0,49686.0,49686.0,30,69570
2025-02-21 10:06:00,49686.0,49703.65,49686.0,49703.15,90,69690
2025-02-21 10:07:00,49703.15,49703.15,49680.0,49680.0,390,69690
2025-02-21 10:08:00,49680.0,49686.2,49680.0,49681.0,510,69690
